,fileid,p,alpha,q,r,k,tau,m0,b0,error,p_tilde,q_tilde,alpha_tilde,r_tilde,k_tilde,tau_tilde
22,1903267,0.12580990549783994,0.028532792138076968,0.4838756383666388,0.5635537318124931,-1.756913740415581,48.43595675944297,1.1457822220993537,0.8515477912235296,0.015151749016464983,1.0,3.846085381368851,0.16855296002899167,6.027171462258252,-11.891718772865978,6.093723142602982
23,1717596,0.06590464913292643,0.007232145999071016,0.6793975350840002,0.41588295542551196,1.2328428902373423,41.4828702380354,1.0018937452779622,1.0000231794341674,0.023780050860510677,1.0,10.308795267442953,0.10953162575494384,6.322177256491482,18.70689675247818,2.7339140080644393
24,2146291,0.06449715322595467,0.012682551413919219,0.8051744388055455,0.5265620796465925,-1.901903726244838,39.8913494281538,0.9491702070232213,1.1138047036299936,0.021466816744575595,1.0,12.48387562137441,0.23074432841110584,6.957353726255416,-32.84407466360012,2.5728784764577353
25,2163775,0.06813485430816557,0.01061417066000575,0.9854709263245782,0.4608786767032552,4.0963560968407675,70.65518853324821,0.9465093641647696,0.9917129374411958,0.017868946711032445,1.0,14.463536120109898,0.16322166302870894,6.455891453172163,59.62307219781128,4.814080976828837
26,1134475,0.09417443208579751,0.0031838043502385727,0.22728041334717086,0.24117795209868614,0.5723136690211361,63.503149319629955,1.0099090258370822,0.987185053952232,0.020162675106390623,1.0,2.413398289889418,0.03304682036922779,2.6199214789833505,5.999287574312167,5.9803730228357495
27,662052,0.11084582029948281,0.0164345868977267,0.9495028290667212,0.9013617696455959,0.00972878442430769,12.889435113823552,0.9259544098481431,0.927037006072251,0.02089164605228267,0.9999999999999999,8.565977738279694,0.14843862985209627,8.122175058985885,0.0813647565696677,1.4287400083887294
28,1184814,0.06864220556517908,0.013027444669556909,0.522047429898775,0.547700771293811,0.3197960257691479,27.644625631202402,1.0,1.0,0.026476978857818873,1.0,7.605341722346986,0.1897876759974841,7.9790672048517255,4.658883308542383,1.8975880753494139
29,1422907,0.08079947808659366,0.0023901236884056876,0.8174355007648766,0.7033488849559185,3.7644485122069415,110.83263527306508,0.9810725265765052,0.9470340199856486,0.021683093580072765,1.0,10.116841347524822,0.028554613543575257,9.017741496383382,44.122324697736545,8.95521908502545
30,1170745,0.1436511052545245,0.01682686129722366,0.11583557774727399,0.09486104376031912,0.236281353570873,36.7093221649549,1.0,1.0,0.026168942560167524,1.0,0.8063674661050029,0.11713701239826467,0.6603572147408265,1.6448279541756672,5.273334702140185
31,604020,0.08252647229924936,0.013380227494038666,0.893057133468186,0.7153412147557945,1.1421151584601708,27.620612068426297,0.9131589396550577,1.0743944738144195,0.022581815911633035,1.0,10.821462599659782,0.1907601288803206,7.367201970394057,14.868952719313663,2.2794316767532954
32,1612332,0.20435959417457628,0.033983320153917584,0.9123546080091685,0.9649334336818134,0.6434223755866753,13.10457800506289,1.0303469285698688,0.9968620431088047,0.013023457023012526,1.0,4.46445693775346,0.16088751897330908,4.880347467464375,3.138601573857738,2.6780462429437306
33,808156,0.11233953593190998,0.004144626233447302,0.984880078359254,0.999158969474676,1.0817625419176702,28.8861996412967,1.001261316545257,0.9943002243365627,0.019421719610092522,1.0,8.766994363909415,0.036637248128923466,8.956366691331421,9.574516479750805,3.245062262539776
34,2417868,0.1318126393872434,0.008933305083078713,0.46067393480687846,0.472722157986776,0.5651348879798035,15.614445760451687,0.8079827516405672,0.9548182687123585,0.013928595457312901,1.0,3.494914728575427,0.08008916017749762,3.034801381946108,4.0936978262347905,2.05818130825409
35,1880969,0.14346272459681708,0.04018251090357222,0.17949659136105028,0.13646642428766814,-0.3209114477323671,22.763510827444875,0.9554281670460945,0.8530210757517468,0.018390906195095574,1.0,1.2511723297149249,0.2500689194744355,1.0654302342232194,-1.9081209361876823,3.2657152846943878
36,1996933,0.09387617810799459,0.00598798569758513,0.4394247292029318,0.13905453369437865,3.2838759813235985,83.38980015604773,1.109268742708076,1.1468613033043824,0.016489471418358985,1.0,4.6808970929496105,0.06594767331157915,1.4327012142972304,40.11827455841015,7.828315731839212
